,cpu,gpu,model,ram
3634,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Elite X3 Dual SIM TD-LTE EMEA APJ HSTNH-F606,4.00
3635,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Desire 530 4G LTE D530u,1.50
3636,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,G5 H820 LTE-A,4.00
3637,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,CAT S60 Global LTE,3.00
3638,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Andromax E2 TD-LTE Dual SIM,1.00
3639,"Samsung Exynos 7 Octa 7420, 2015, 64 bit, octa-core, 2048 Kbyte L2, 14 nm, ARM Mali-T760 GPU",ARM Mali-T760MP8,Pro 5 Ubuntu Edition M576 Dual SIM TD-LTE 32GB,3.00
3640,"Qualcomm Snapdragon 415 MSM8929, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 405,Andromax R2 TD-LTE Dual SIM,2.00
3641,"MediaTek MT6795 (Helio X10), 2014, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, IMG PowerVR G6200 GPU",PowerVR G6200,Diamond 2 Note LTE,3.00
3642,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Diamond 2 Plus LTE ,4.00
3643,"MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,5270 TD-LTE Dual SIM ,1.00
3644,"MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-400,K120E K Series K4 4G LTE / K120EM,1.00
3645,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,SM-J7109 Galaxy J7 6 Duos TD-LTE / Galaxy J7 2016,3.00
3646,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,F720L Stylus 2 4G LTE,2.00
3647,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Vivo X6S Plus L Dual SIM TD-LTE,4.00
3648,"MediaTek MT8163, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Elements 101b Oxygen,2.00
3649,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Vivo X6S Plus D Dual SIM TD-LTE,4.00
3650,"MediaTek MT8163, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Elements 80 Oxygen,2.00
3651,"MediaTek MT8163, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Elements 70 Oxygen,2.00
3652,"MediaTek MT6735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP1,K350N K Series K8 4G LTE,1.50
3653,"Spreadtrum SC9830A, 2014, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP2,Xolo Era 4G TD-LTE Dual SIM,1.00
3654,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP,Alfa 2 Dual SIM,1.00
3655,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP,B770 TD-LTE Dual SIM ,1.00
3656,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Spark LTE SL5011,1.00
3657,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,One Touch Fierce XL LTE Windows 10,2.00
3658,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,One Touch Pixi 3 8.0 4G 9023A,1.00
3659,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,One Touch Pixi 3 8.0 4G 9023X,1.00
3660,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,L33L Sunset LTE,1.00
3661,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Elite Y LTE Dual SIM,1.00
3662,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,K580 X Series X Cam Dual SIM TD-LTE,2.00
3663,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,Mediapad T1 10 TD-LTE T1-A22L,1.00
3664,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,K500N X Series X Screen TD-LTE,2.00
3665,"Samsung Exynos 3 Quad 3475 (Island), 2015, 32 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,SM-T375L Galaxy Tab E 8.0 4G LTE,1.50
3666,"Samsung Exynos 3 Quad 3475 (Island), 2015, 32 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,SM-J120M/DS Galaxy J1 2016 Duos 4G LTE,1.00
3667,"MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP1,Aqua Wing TD-LTE Dual SIM,1.00
