,full_link
149,http://phonedb.net/index.php?m=device&id=13269&c=samsung_sm-g930l_galaxy_s7_td-lte__samsung_hero
150,http://phonedb.net/index.php?m=device&id=13268&c=samsung_sm-g930k_galaxy_s7_td-lte__samsung_hero
151,http://phonedb.net/index.php?m=device&id=13264&c=blu_v0210ww_vivo_xl_3_plus_dual_sim_lte
152,http://phonedb.net/index.php?m=device&id=13266&c=asus_zenfone_5_lite_2018_dual_sim_lte_am_version_c_32gb_zc600kl
153,http://phonedb.net/index.php?m=device&id=13265&c=zte_blade_v8q_dual_sim_td-lte_jp__zte_v0840
154,http://phonedb.net/index.php?m=device&id=13259&c=smartisan_jianguo_3_dual_sim_td-lte_cn_128gb
155,http://phonedb.net/index.php?m=device&id=13263&c=huawei_p20_pro_dual_sim_td-lte_clt-al01_64gb__huawei_charlotte
156,http://phonedb.net/index.php?m=device&id=13262&c=samsung_sm-j250n_galaxy_j2_pro_2018_lte__samsung_j250
157,http://phonedb.net/index.php?m=device&id=13261&c=huawei_y6_2018_dual_sim_lte_emea_atu-lx1__atu-l21__huawei_autumn
158,http://phonedb.net/index.php?m=device&id=13260&c=huawei_p20_standard_edition_dual_sim_td-lte_cn_eml-al00__huawei_emily
159,http://phonedb.net/index.php?m=device&id=13258&c=bbk_vivo_x21_ud_dual_sim_td-lte_cn_128gb_x21ud_a
160,http://phonedb.net/index.php?m=device&id=13257&c=bbk_vivo_x21_dual_sim_td-lte_cn_128gb_x21a
161,http://phonedb.net/index.php?m=device&id=13251&c=zte_nubia_v18_dual_sim_td-lte_cn
162,http://phonedb.net/index.php?m=device&id=13256&c=bbk_vivo_x21_dual_sim_td-lte_cn_64gb
163,http://phonedb.net/index.php?m=device&id=13255&c=archos_50x_saphir_dual_sim_lte
164,http://phonedb.net/index.php?m=device&id=13254&c=oppo_a83_2018_dual_sim_td-lte_in_id_th_64gb
165,http://phonedb.net/index.php?m=device&id=13253&c=tecno_mobile_camon_x_pro_td-lte_dual_sim
166,http://phonedb.net/index.php?m=device&id=13247&c=tecno_mobile_f2_dual_sim
167,http://phonedb.net/index.php?m=device&id=13252&c=tecno_mobile_f1_dual_sim
168,http://phonedb.net/index.php?m=device&id=13250&c=lenovo_k5_play_dual_sim_td-lte_cn_32gb_l38021
169,http://phonedb.net/index.php?m=device&id=13243&c=sonim_xp8_dual_sim_td-lte
170,http://phonedb.net/index.php?m=device&id=13248&c=tecno_mobile_camon_x_td-lte_dual_sim_16gb
171,http://phonedb.net/index.php?m=device&id=13246&c=tecno_mobile_spark_cm_dual_sim_lte
172,http://phonedb.net/index.php?m=device&id=13245&c=panasonic_eluga_ray_550_dual_sim_td-lte
173,http://phonedb.net/index.php?m=device&id=13249&c=samsung_sm-g960j_galaxy_s9_wimax_2plus_scv38__samsung_star
174,http://phonedb.net/index.php?m=device&id=13244&c=oppo_a83_2018_dual_sim_td-lte_in_id_th_16gb
175,http://phonedb.net/index.php?m=device&id=13242&c=zte_nubia_n3_dual_sim_td-lte_cn_nx608j
176,http://phonedb.net/index.php?m=device&id=13241&c=lenovo_k5_play_dual_sim_td-lte_cn_16gb_l38021
177,http://phonedb.net/index.php?m=device&id=13240&c=general_mobile_gm8_android_one_dual_sim_td-lte_32gb_version_2
178,http://phonedb.net/index.php?m=device&id=13139&c=wiko_view_go_dual_sim_lte_emea
179,http://phonedb.net/index.php?m=device&id=13239&c=caterpillar_cat_s41_dual_sim_td-lte_jp
180,http://phonedb.net/index.php?m=device&id=13237&c=lenovo_s5_dual_sim_td-lte_cn_128gb_pabx0010cn__pabx0011cn
181,http://phonedb.net/index.php?m=device&id=13238&c=bbk_vivo_v9_dual_sim_td-lte_in_th_pk_1723
182,http://phonedb.net/index.php?m=device&id=13217&c=lenovo_k5_dual_sim_td-lte_cn_k350t
183,http://phonedb.net/index.php?m=device&id=13236&c=meizu_mblu_e3_dual_sim_td-lte_cn_m851q_64gb__meizu_meilan_e3
184,http://phonedb.net/index.php?m=device&id=13234&c=huawei_honor_changwan_7c_dual_sim_td-lte_cn_lnd-tl40__huawei_london_2
185,http://phonedb.net/index.php?m=device&id=13235&c=lenovo_s5_dual_sim_td-lte_cn_32gb_pabx0000cn__pabx0001cn
186,http://phonedb.net/index.php?m=device&id=13233&c=huawei_honor_changwan_7a_dual_sim_td-lte_cn_aum-tl20__huawei_autumn
187,http://phonedb.net/index.php?m=device&id=13232&c=myphone_prime_dual_sim
188,http://phonedb.net/index.php?m=device&id=13231&c=myphone_luna_2_dual_sim_lte
189,http://phonedb.net/index.php?m=device&id=13230&c=myphone_x_pro_dual_sim_lte
190,http://phonedb.net/index.php?m=device&id=13229&c=myphone_fun5_dual_sim
191,http://phonedb.net/index.php?m=device&id=13228&c=myphone_prime_plus_dual_sim
192,http://phonedb.net/index.php?m=device&id=13227&c=huawei_mate_rs_porsche_design_dual_sim_td-lte_512gb_neo-al00
193,http://phonedb.net/index.php?m=device&id=13226&c=oppo_r15_dual_sim_td-lte_cn_pact00
194,http://phonedb.net/index.php?m=device&id=13225&c=huawei_enjoy_8e_dual_sim_td-lte_cn_atu-tl10__huawei_autumn
195,http://phonedb.net/index.php?m=device&id=13224&c=huawei_honor_changwan_7a_dual_sim_td-lte_cn_aum-al20__huawei_autumn
196,http://phonedb.net/index.php?m=device&id=13218&c=myphone_hammer_axe_pro_dual_sim_lte
197,http://phonedb.net/index.php?m=device&id=13220&c=myphone_hammer_active_dual_sim
198,http://phonedb.net/index.php?m=device&id=13221&c=myphone_hammer_axe_m_dual_sim_lte
199,http://phonedb.net/index.php?m=device&id=13222&c=myphone_hammer_iron_2_dual_sim
200,http://phonedb.net/index.php?m=device&id=13223&c=myphone_hammer_energy_dual_sim_lte
201,http://phonedb.net/index.php?m=device&id=13219&c=myphone_hammer_blade_dual_sim_lte
202,http://phonedb.net/index.php?m=device&id=13215&c=huawei_p20_global_dual_sim_td-lte_eml-l29__eml-l29c__huawei_emily
203,http://phonedb.net/index.php?m=device&id=13212&c=tcl_y660_dual_sim_td-lte__v760
204,http://phonedb.net/index.php?m=device&id=13143&c=ikimobile_go4.5_dual_sim_lte
205,http://phonedb.net/index.php?m=device&id=13216&c=huawei_p20_global_td-lte_eml-l09__eml-l09c__huawei_emily
206,http://phonedb.net/index.php?m=device&id=13213&c=hanmac_knight_dual_sim_td-lte
207,http://phonedb.net/index.php?m=device&id=13214&c=hanmac_bon7_dual_sim_td-lte
208,http://phonedb.net/index.php?m=device&id=13205&c=china_mobile_m850_n3_dual_sim_td-lte_64gb
209,http://phonedb.net/index.php?m=device&id=13211&c=huawei_p20_pro_global_td-lte_clt-l09__clt-l09c__huawei_charlotte
210,http://phonedb.net/index.php?m=device&id=13209&c=acer_chromebook_tab_10_d651n
211,http://phonedb.net/index.php?m=device&id=13210&c=iconbit_callisto_300
212,http://phonedb.net/index.php?m=device&id=13208&c=huawei_mate_rs_porsche_design_dual_sim_td-lte_256gb_neo-al00
213,"http://phonedb.net/index.php?m=device&id=13202&c=apple_ipad_9.7-inch_2018_6th_gen_a1954_td-lte_32gb__apple_ipad_7,6"
214,http://phonedb.net/index.php?m=device&id=13207&c=xiaomi_mi_mix_2s_standard_edition_dual_sim_td-lte_64gb
215,http://phonedb.net/index.php?m=device&id=13206&c=iconbit_callisto_100
216,http://phonedb.net/index.php?m=device&id=13204&c=huawei_p20_pro_global_dual_sim_td-lte_clt-l29__clt-l29c__huawei_charlotte
217,http://phonedb.net/index.php?m=device&id=13203&c=casio_wsd-f20sc_pro_trek_smart_watch_limited_edition
218,"http://phonedb.net/index.php?m=device&id=13201&c=apple_ipad_9.7-inch_2018_6th_gen_a1893_wifi_32gb__apple_ipad_7,5"
219,http://phonedb.net/index.php?m=device&id=13200&c=xiaomi_mi_mix_2s_premium_edition_global_dual_sim_td-lte_256gb
220,http://phonedb.net/index.php?m=device&id=13199&c=xiaomi_mi_mix_2s_standard_edition_dual_sim_td-lte_128gb
221,"http://phonedb.net/index.php?m=device&id=13198&c=apple_ipad_9.7-inch_2018_6th_gen_a1954_td-lte_128gb__apple_ipad_7,6"
222,"http://phonedb.net/index.php?m=device&id=13197&c=apple_ipad_9.7-inch_2018_6th_gen_a1893_wifi_128gb__apple_ipad_7,5"
