,cpu,gpu,model,ram
9643,"ARM Cortex-A9, 2007, 32 bit, single-core, 65 nm",Qualcomm Adreno 220,COOLPIX S800c,512
9644,"Qualcomm Snapdragon S2 MSM8655T, 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 220,SPH-M950 Galaxy Reverb,768
9645,"Qualcomm MSM7627A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 220,SPH-M830 Galaxy Rush,768
9646,"Qualcomm MSM7627T, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 220,SCH-M828C Galaxy Precedent,384
9647,"Qualcomm MSM7627T, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 220,SCH-R730 Transfix,384
9648,"Samsung-Intrinsity S5PC110, 2010, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,SGH-T839 Sidekick 4G,512
9649,"Qualcomm Snapdragon S2 MSM8255T, 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 205,SGH-i847 Rugby Smart,512
9650,"Samsung S5PC111 Exynos 3110, 2011, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 45 nm, IMG PowerVR SGX540 GPU",PowerVR SGX540,SCH-S720C Galaxy Proclaim,512
9651,"MediaTek MT6575, 2011, 32 bit, single-core, 256 Kbyte L2, 40 nm, IMG PowerVR SGX531T GPU",PowerVR SGX531T,Liquid Gallant Duo E350 / Liquid C AK330,1.00
9652,"Samsung S5PC210 Exynos 4 Dual 4210 (Orion), 2011, 32 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 45 nm, ARM Mali-400 GPU",ARM Mali-400,SPH-D710 Galaxy S II 4G,1.00
9653,"Qualcomm Snapdragon S3 APQ8060, 2011, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 512 Kbyte L2, 45 nm, Qualcomm Adreno 220 GPU",Qualcomm Adreno 220,GT-i9210T Galaxy S II 4G AU,1.00
9654,"Qualcomm MSM7227A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,Xperia J ST26 / ST26i,512
